FiscalYear,FiscalQuarter,Department,Branch,BudgetedHeadcount,AllocatedSalaryBudget_EGP,OvertimeAllowance_EGP
2024,Q4,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,66,2368476,167759.6
2024,Q4,تكنولوجيا المعلومات,الدقي,42,1428714,82664.02
2024,Q4,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,35,1073310,127453.62
2024,Q4,تكنولوجيا المعلومات,المنصورة,33,1733193,201484.67
2024,Q4,تكنولوجيا المعلومات,الغربية - طنطا,70,2745750,154420.94
2024,Q4,تكنولوجيا المعلومات,القاهرة - التجمع الخامس,29,1049568,113214.56
2024,Q4,تكنولوجيا المعلومات,القاهرة - القرية الذكية,58,2677512,163759.48
2024,Q4,تكنولوجيا المعلومات,المعادي,46,1460178,82172.91
2024,Q4,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,33,1110384,56459.53
2024,Q4,تكنولوجيا المعلومات,الشرق,31,840069,63180.49
2024,Q4,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,51,2039184,188328.78
2024,Q4,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,47,2514876,132385.15
2024,Q4,خدمة العملاء والعمليات المساندة,سموحة,16,451632,47432.06
2024,Q4,خدمة العملاء والعمليات المساندة,الإسكندرية - لوران,67,3595086,334755.31
2024,Q4,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,34,1814172,174417.24
2024,Q4,خدمة العملاء والعمليات المساندة,الدقي,42,1872108,211956.99
2024,Q4,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,30,811080,46882.13
2024,Q4,خدمة العملاء والعمليات المساندة,المنصورة,76,3876228,423909.56
2024,Q4,خدمة العملاء والعمليات المساندة,الغربية - طنطا,34,1806624,147348.66
2024,Q4,خدمة العملاء والعمليات المساندة,فرع التجمع,80,3781200,296141.93
2024,Q4,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,53,2494551,192007.24
2024,Q4,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,52,1669356,136584.3
2024,Q4,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,32,1641024,189483.5
2024,Q4,خدمة العملاء والعمليات المساندة,الشرق,32,1024992,94164.96
2024,Q4,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,17,873222,51961.27
